,Neighbor1,Neighbor2,Neighbor3,Neighbor4,Neighbor5,Neighbor6,Neighbor7,Neighbor8,Neighbor9,Neighbor10
City-20,"('City-102', 3.16)","('City-29', 3.16)","('City-100', 3.46)","('City-56', 3.74)","('City-68', 3.74)","('City-54', 3.74)","('City-163', 3.74)","('City-195', 4.0)","('City-99', 4.0)","('City-157', 4.0)"
City-21,"('City-203', 2.83)","('City-131', 2.83)","('City-163', 3.16)","('City-97', 3.46)","('City-181', 3.46)","('City-54', 3.46)","('City-226', 3.46)","('City-157', 3.46)","('City-58', 3.46)","('City-133', 3.74)"
City-22,"('City-148', 2.83)","('City-191', 3.16)","('City-174', 3.16)","('City-134', 3.16)","('City-1', 3.16)","('City-18', 3.16)","('City-65', 3.16)","('City-34', 3.16)","('City-45', 3.16)","('City-219', 3.16)"
City-23,"('City-165', 3.46)","('City-99', 3.74)","('City-58', 3.74)","('City-150', 3.74)","('City-203', 4.0)","('City-173', 4.0)","('City-163', 4.0)","('City-189', 4.0)","('City-21', 4.0)","('City-121', 4.0)"
City-24,"('City-174', 3.46)","('City-74', 3.74)","('City-191', 3.74)","('City-186', 3.74)","('City-201', 3.74)","('City-165', 3.74)","('City-100', 3.74)","('City-219', 3.74)","('City-192', 3.74)","('City-94', 3.74)"
City-25,"('City-162', 4.0)","('City-60', 4.0)","('City-75', 4.24)","('City-186', 4.24)","('City-19', 4.24)","('City-169', 4.24)","('City-15', 4.24)","('City-14', 4.24)","('City-100', 4.24)","('City-54', 4.24)"
City-26,"('City-32', 2.83)","('City-19', 2.83)","('City-138', 2.83)","('City-63', 3.16)","('City-74', 3.16)","('City-161', 3.16)","('City-100', 3.16)","('City-60', 3.16)","('City-56', 3.46)","('City-55', 3.46)"
City-27,"('City-94', 4.0)","('City-219', 4.24)","('City-70', 4.69)","('City-137', 4.69)","('City-166', 4.69)","('City-174', 4.9)","('City-57', 4.9)","('City-74', 4.9)","('City-88', 4.9)","('City-56', 4.9)"
City-28,"('City-59', 3.16)","('City-3', 3.46)","('City-54', 3.74)","('City-17', 3.74)","('City-93', 3.74)","('City-195', 4.0)","('City-149', 4.0)","('City-134', 4.24)","('City-133', 4.47)","('City-22', 4.47)"
City-29,"('City-102', 2.83)","('City-227', 2.83)","('City-100', 3.16)","('City-123', 3.16)","('City-20', 3.16)","('City-174', 3.16)","('City-49', 3.46)","('City-68', 3.46)","('City-22', 3.46)","('City-55', 3.46)"
City-30,"('City-45', 3.16)","('City-67', 3.16)","('City-35', 3.16)","('City-49', 3.16)","('City-177', 3.16)","('City-227', 3.46)","('City-185', 3.46)","('City-219', 3.46)","('City-222', 3.46)","('City-22', 3.74)"
City-31,"('City-125', 2.45)","('City-32', 3.16)","('City-26', 3.74)","('City-12', 3.74)","('City-35', 4.0)","('City-51', 4.0)","('City-154', 4.0)","('City-138', 4.0)","('City-161', 4.24)","('City-145', 4.24)"
City-32,"('City-150', 2.83)","('City-26', 2.83)","('City-31', 3.16)","('City-132', 3.16)","('City-58', 3.16)","('City-71', 3.16)","('City-138', 3.16)","('City-109', 3.16)","('City-189', 3.46)","('City-54', 3.46)"
City-33,"('City-39', 3.74)","('City-153', 4.0)","('City-223', 4.24)","('City-89', 4.47)","('City-100', 4.47)","('City-74', 4.47)","('City-144', 4.47)","('City-146', 4.47)","('City-124', 4.47)","('City-228', 4.47)"
City-34,"('City-22', 3.16)","('City-174', 3.16)","('City-55', 3.46)","('City-29', 3.46)","('City-65', 3.46)","('City-12', 3.46)","('City-159', 3.46)","('City-100', 3.46)","('City-165', 3.46)","('City-197', 3.74)"
City-35,"('City-10', 2.0)","('City-219', 2.45)","('City-137', 2.83)","('City-209', 2.83)","('City-94', 3.16)","('City-30', 3.16)","('City-57', 3.16)","('City-143', 3.46)","('City-174', 3.46)","('City-49', 3.46)"
City-36,"('City-10', 4.0)","('City-154', 4.24)","('City-60', 4.24)","('City-99', 4.24)","('City-35', 4.47)","('City-70', 4.47)","('City-75', 4.47)","('City-89', 4.47)","('City-100', 4.47)","('City-31', 4.47)"
City-37,"('City-100', 3.16)","('City-141', 3.46)","('City-174', 3.46)","('City-12', 3.46)","('City-74', 3.46)","('City-161', 3.46)","('City-116', 3.46)","('City-202', 3.74)","('City-201', 3.74)","('City-177', 3.74)"
City-38,"('City-108', 3.74)","('City-99', 4.0)","('City-150', 4.0)","('City-60', 4.0)","('City-165', 4.24)","('City-101', 4.24)","('City-149', 4.24)","('City-173', 4.24)","('City-163', 4.24)","('City-32', 4.24)"
City-39,"('City-33', 3.74)","('City-153', 4.0)","('City-228', 4.24)","('City-223', 4.47)","('City-89', 4.47)","('City-60', 4.47)","('City-100', 4.47)","('City-74', 4.47)","('City-19', 4.69)","('City-76', 4.69)"
City-40,"('City-18', 4.24)","('City-229', 4.24)","('City-19', 4.47)","('City-148', 4.47)","('City-147', 4.47)","('City-54', 4.47)","('City-184', 4.47)","('City-5', 4.47)","('City-68', 4.69)","('City-157', 4.69)"
City-41,"('City-174', 4.0)","('City-22', 4.0)","('City-201', 4.24)","('City-30', 4.24)","('City-34', 4.24)","('City-94', 4.24)","('City-208', 4.24)","('City-161', 4.24)","('City-167', 4.24)","('City-152', 4.24)"
City-42,"('City-93', 4.0)","('City-105', 4.24)","('City-50', 4.47)","('City-134', 4.9)","('City-62', 5.1)","('City-59', 5.1)","('City-215', 5.1)","('City-78', 5.1)","('City-57', 5.1)","('City-6', 5.1)"
City-43,"('City-44', 3.74)","('City-177', 3.74)","('City-222', 4.0)","('City-219', 4.0)","('City-30', 4.0)","('City-74', 4.24)","('City-95', 4.24)","('City-15', 4.24)","('City-18', 4.24)","('City-188', 4.24)"
City-44,"('City-45', 3.16)","('City-224', 3.46)","('City-73', 3.74)","('City-142', 3.74)","('City-15', 3.74)","('City-43', 3.74)","('City-169', 3.74)","('City-195', 3.74)","('City-188', 3.74)","('City-222', 4.0)"
City-45,"('City-67', 2.45)","('City-222', 2.83)","('City-185', 2.83)","('City-15', 3.16)","('City-169', 3.16)","('City-30', 3.16)","('City-44', 3.16)","('City-46', 3.16)","('City-58', 3.16)","('City-22', 3.16)"
City-46,"('City-45', 3.16)","('City-58', 3.46)","('City-169', 4.0)","('City-185', 4.0)","('City-67', 4.0)","('City-119', 4.0)","('City-184', 4.0)","('City-189', 4.0)","('City-73', 4.24)","('City-148', 4.24)"
City-47,"('City-70', 4.69)","('City-219', 4.69)","('City-177', 4.69)","('City-22', 4.69)","('City-144', 4.9)","('City-137', 4.9)","('City-37', 4.9)","('City-163', 4.9)","('City-30', 4.9)","('City-131', 4.9)"
City-48,"('City-62', 3.46)","('City-191', 3.46)","('City-22', 3.46)","('City-134', 3.74)","('City-115', 3.74)","('City-148', 4.0)","('City-45', 4.0)","('City-54', 4.24)","('City-56', 4.24)","('City-58', 4.24)"
City-49,"('City-30', 3.16)","('City-186', 3.16)","('City-60', 3.16)","('City-100', 3.16)","('City-58', 3.46)","('City-55', 3.46)","('City-29', 3.46)","('City-71', 3.46)","('City-35', 3.46)","('City-174', 3.46)"
City-50,"('City-60', 3.46)","('City-26', 3.74)","('City-4', 3.74)","('City-6', 3.74)","('City-105', 3.74)","('City-187', 3.74)","('City-197', 4.0)","('City-55', 4.0)","('City-219', 4.24)","('City-202', 4.24)"
City-51,"('City-191', 3.74)","('City-165', 4.0)","('City-26', 4.0)","('City-115', 4.0)","('City-31', 4.0)","('City-32', 4.0)","('City-35', 4.0)","('City-125', 4.0)","('City-163', 4.0)","('City-78', 4.0)"
City-52,"('City-86', 3.46)","('City-58', 3.46)","('City-21', 3.74)","('City-54', 3.74)","('City-138', 4.0)","('City-133', 4.0)","('City-131', 4.0)","('City-71', 4.0)","('City-195', 4.0)","('City-32', 4.0)"
City-53,"('City-8', 4.0)","('City-144', 4.24)","('City-106', 4.47)","('City-20', 4.47)","('City-188', 4.47)","('City-54', 4.47)","('City-157', 4.69)","('City-40', 4.69)","('City-195', 4.69)","('City-104', 4.69)"
City-54,"('City-195', 2.83)","('City-58', 3.16)","('City-157', 3.16)","('City-149', 3.16)","('City-131', 3.46)","('City-22', 3.46)","('City-169', 3.46)","('City-32', 3.46)","('City-229', 3.46)","('City-19', 3.46)"
City-55,"('City-186', 2.83)","('City-6', 2.83)","('City-12', 3.16)","('City-60', 3.16)","('City-174', 3.16)","('City-202', 3.16)","('City-100', 3.16)","('City-182', 3.16)","('City-133', 3.46)","('City-189', 3.46)"
City-56,"('City-84', 2.45)","('City-76', 3.16)","('City-62', 3.16)","('City-29', 3.46)","('City-22', 3.46)","('City-174', 3.46)","('City-100', 3.46)","('City-26', 3.46)","('City-58', 3.46)","('City-6', 3.46)"
City-57,"('City-219', 2.45)","('City-137', 2.45)","('City-35', 3.16)","('City-94', 3.46)","('City-209', 3.46)","('City-144', 3.46)","('City-60', 3.46)","('City-213', 3.46)","('City-26', 3.74)","('City-172', 3.74)"
City-58,"('City-203', 3.16)","('City-54', 3.16)","('City-71', 3.16)","('City-45', 3.16)","('City-2', 3.16)","('City-22', 3.16)","('City-226', 3.16)","('City-32', 3.16)","('City-227', 3.16)","('City-86', 3.16)"
City-59,"('City-28', 3.16)","('City-93', 3.46)","('City-193', 4.0)","('City-123', 4.0)","('City-134', 4.0)","('City-149', 4.0)","('City-22', 4.24)","('City-65', 4.24)","('City-55', 4.24)","('City-51', 4.24)"
City-60,"('City-6', 2.83)","('City-186', 2.83)","('City-219', 3.16)","('City-26', 3.16)","('City-202', 3.16)","('City-205', 3.16)","('City-189', 3.16)","('City-100', 3.16)","('City-49', 3.16)","('City-55', 3.16)"
City-61,"('City-86', 4.0)","('City-225', 4.0)","('City-151', 4.0)","('City-191', 4.0)","('City-180', 4.0)","('City-15', 4.24)","('City-49', 4.24)","('City-181', 4.24)","('City-22', 4.24)","('City-138', 4.24)"
City-62,"('City-56', 3.16)","('City-115', 3.16)","('City-195', 3.46)","('City-134', 3.46)","('City-150', 3.46)","('City-54', 3.46)","('City-48', 3.46)","('City-58', 3.46)","('City-78', 3.74)","('City-22', 3.74)"
City-63,"('City-26', 3.16)","('City-19', 3.16)","('City-161', 3.46)","('City-91', 3.46)","('City-174', 3.46)","('City-229', 3.46)","('City-100', 3.46)","('City-99', 3.46)","('City-165', 3.46)","('City-22', 3.46)"
City-64,"('City-58', 3.74)","('City-182', 3.74)","('City-96', 3.74)","('City-227', 3.74)","('City-131', 4.0)","('City-177', 4.0)","('City-222', 4.0)","('City-132', 4.24)","('City-186', 4.24)","('City-29', 4.24)"
City-65,"('City-22', 3.16)","('City-34', 3.46)","('City-195', 3.46)","('City-174', 3.46)","('City-149', 3.46)","('City-93', 3.46)","('City-18', 3.74)","('City-29', 3.74)","('City-133', 3.74)","('City-66', 3.74)"
City-66,"('City-79', 2.83)","('City-133', 3.46)","('City-197', 3.74)","('City-65', 3.74)","('City-18', 4.0)","('City-22', 4.0)","('City-6', 4.0)","('City-93', 4.0)","('City-34', 4.24)","('City-172', 4.24)"
City-67,"('City-45', 2.45)","('City-11', 3.16)","('City-30', 3.16)","('City-115', 3.46)","('City-222', 3.46)","('City-219', 3.46)","('City-35', 3.46)","('City-26', 3.74)","('City-119', 3.74)","('City-22', 3.74)"
City-68,"('City-227', 2.45)","('City-71', 3.16)","('City-58', 3.46)","('City-54', 3.46)","('City-19', 3.46)","('City-100', 3.46)","('City-229', 3.46)","('City-15', 3.46)","('City-29', 3.46)","('City-186', 3.74)"
City-69,"('City-85', 3.74)","('City-145', 4.0)","('City-134', 4.0)","('City-169', 4.24)","('City-173', 4.24)","('City-86', 4.24)","('City-182', 4.24)","('City-35', 4.24)","('City-132', 4.24)","('City-22', 4.24)"
City-70,"('City-100', 2.45)","('City-102', 3.16)","('City-174', 3.46)","('City-190', 3.46)","('City-186', 3.46)","('City-49', 3.46)","('City-149', 3.46)","('City-75', 3.46)","('City-94', 3.46)","('City-163', 3.46)"
City-71,"('City-189', 2.83)","('City-227', 2.83)","('City-32', 3.16)","('City-68', 3.16)","('City-58', 3.16)","('City-49', 3.46)","('City-26', 3.46)","('City-150', 3.46)","('City-186', 3.46)","('City-54', 3.46)"
City-72,"('City-124', 2.83)","('City-175', 3.74)","('City-205', 4.0)","('City-188', 4.0)","('City-21', 4.24)","('City-63', 4.24)","('City-19', 4.24)","('City-157', 4.24)","('City-181', 4.24)","('City-82', 4.24)"
City-73,"('City-198', 3.46)","('City-45', 3.46)","('City-229', 3.46)","('City-19', 3.74)","('City-142', 3.74)","('City-18', 3.74)","('City-82', 3.74)","('City-22', 3.74)","('City-63', 3.74)","('City-162', 3.74)"
City-74,"('City-12', 2.83)","('City-174', 3.16)","('City-26', 3.16)","('City-100', 3.16)","('City-89', 3.46)","('City-94', 3.46)","('City-219', 3.46)","('City-19', 3.46)","('City-55', 3.46)","('City-37', 3.46)"
City-75,"('City-116', 3.46)","('City-70', 3.46)","('City-100', 3.46)","('City-212', 3.74)","('City-186', 3.74)","('City-89', 3.74)","('City-60', 3.74)","('City-120', 4.0)","('City-74', 4.0)","('City-174', 4.0)"
City-76,"('City-56', 3.16)","('City-84', 3.46)","('City-223', 3.46)","('City-6', 3.46)","('City-60', 3.74)","('City-163', 3.74)","('City-19', 3.74)","('City-100', 3.74)","('City-26', 3.74)","('City-8', 3.74)"
City-77,"('City-100', 3.46)","('City-186', 3.74)","('City-96', 3.74)","('City-49', 4.0)","('City-204', 4.0)","('City-194', 4.0)","('City-90', 4.0)","('City-92', 4.0)","('City-191', 4.0)","('City-24', 4.0)"
City-78,"('City-178', 2.45)","('City-187', 3.46)","('City-150', 3.74)","('City-134', 3.74)","('City-60', 3.74)","('City-137', 3.74)","('City-115', 3.74)","('City-62', 3.74)","('City-26', 3.74)","('City-58', 3.74)"
City-79,"('City-66', 2.83)","('City-133', 3.16)","('City-6', 3.74)","('City-60', 4.0)","('City-18', 4.0)","('City-19', 4.0)","('City-29', 4.0)","('City-197', 4.0)","('City-5', 4.0)","('City-55', 4.0)"
City-80,"('City-185', 3.16)","('City-221', 4.24)","('City-45', 4.24)","('City-11', 4.47)","('City-142', 4.47)","('City-157', 4.47)","('City-181', 4.47)","('City-189', 4.47)","('City-100', 4.69)","('City-229', 4.69)"
City-81,"('City-184', 4.0)","('City-148', 4.24)","('City-218', 4.47)","('City-119', 4.47)","('City-46', 4.69)","('City-169', 4.69)","('City-129', 5.1)","('City-45', 5.1)","('City-5', 5.29)","('City-209', 5.29)"
City-82,"('City-116', 3.46)","('City-29', 3.46)","('City-118', 3.74)","('City-19', 3.74)","('City-26', 3.74)","('City-229', 3.74)","('City-73', 3.74)","('City-198', 3.74)","('City-18', 3.74)","('City-138', 3.74)"
City-83,"('City-182', 3.74)","('City-159', 3.74)","('City-34', 4.0)","('City-49', 4.0)","('City-174', 4.0)","('City-64', 4.24)","('City-100', 4.24)","('City-55', 4.24)","('City-186', 4.24)","('City-141', 4.24)"
City-84,"('City-56', 2.45)","('City-29', 3.46)","('City-76', 3.46)","('City-208', 3.74)","('City-100', 3.74)","('City-201', 3.74)","('City-163', 3.74)","('City-6', 3.74)","('City-226', 3.74)","('City-174', 3.74)"
City-85,"('City-145', 3.74)","('City-69', 3.74)","('City-35', 3.74)","('City-144', 4.0)","('City-10', 4.0)","('City-98', 4.0)","('City-219', 4.0)","('City-137', 4.0)","('City-29', 4.24)","('City-30', 4.24)"
City-86,"('City-58', 3.16)","('City-54', 3.46)","('City-52', 3.46)","('City-2', 3.46)","('City-149', 3.74)","('City-173', 3.74)","('City-133', 3.74)","('City-71', 3.74)","('City-21', 3.74)","('City-49', 3.74)"
City-87,"('City-217', 4.0)","('City-79', 4.69)","('City-197', 4.69)","('City-17', 4.69)","('City-6', 4.69)","('City-201', 4.9)","('City-66', 4.9)","('City-220', 4.9)","('City-172', 4.9)","('City-114', 5.1)"
City-88,"('City-182', 3.46)","('City-186', 3.46)","('City-12', 3.74)","('City-37', 3.74)","('City-159', 3.74)","('City-55', 3.74)","('City-100', 3.74)","('City-74', 3.74)","('City-26', 4.0)","('City-177', 4.0)"
City-89,"('City-100', 3.46)","('City-19', 3.46)","('City-74', 3.46)","('City-116', 3.46)","('City-26', 3.46)","('City-138', 3.46)","('City-60', 3.46)","('City-94', 3.74)","('City-99', 3.74)","('City-70', 3.74)"
City-90,"('City-214', 3.74)","('City-100', 4.0)","('City-186', 4.0)","('City-116', 4.0)","('City-77', 4.0)","('City-194', 4.0)","('City-141', 4.24)","('City-189', 4.24)","('City-110', 4.24)","('City-121', 4.24)"
City-91,"('City-202', 2.83)","('City-12', 3.16)","('City-174', 3.16)","('City-99', 3.16)","('City-161', 3.16)","('City-165', 3.16)","('City-171', 3.46)","('City-32', 3.46)","('City-63', 3.46)","('City-26', 3.46)"
City-92,"('City-34', 3.74)","('City-77', 4.0)","('City-222', 4.0)","('City-165', 4.0)","('City-22', 4.0)","('City-161', 4.0)","('City-176', 4.0)","('City-174', 4.0)","('City-65', 4.0)","('City-207', 4.24)"
City-93,"('City-55', 3.46)","('City-65', 3.46)","('City-133', 3.46)","('City-59', 3.46)","('City-6', 3.46)","('City-149', 3.74)","('City-28', 3.74)","('City-193', 3.74)","('City-134', 3.74)","('City-54', 3.74)"
City-94,"('City-219', 2.83)","('City-174', 3.16)","('City-137', 3.16)","('City-35', 3.16)","('City-74', 3.46)","('City-70', 3.46)","('City-60', 3.46)","('City-100', 3.46)","('City-57', 3.46)","('City-95', 3.46)"
City-95,"('City-219', 3.46)","('City-35', 3.46)","('City-94', 3.46)","('City-10', 3.74)","('City-100', 3.74)","('City-174', 3.74)","('City-137', 3.74)","('City-70', 3.74)","('City-185', 4.0)","('City-157', 4.0)"
City-96,"('City-77', 3.74)","('City-100', 3.74)","('City-64', 3.74)","('City-126', 4.0)","('City-37', 4.0)","('City-159', 4.24)","('City-102', 4.24)","('City-15', 4.24)","('City-174', 4.24)","('City-116', 4.24)"
City-97,"('City-21', 3.46)","('City-58', 3.74)","('City-203', 3.74)","('City-226', 3.74)","('City-173', 4.0)","('City-163', 4.0)","('City-5', 4.0)","('City-133', 4.0)","('City-169', 4.24)","('City-148', 4.24)"
City-98,"('City-138', 3.74)","('City-71', 3.74)","('City-102', 3.74)","('City-29', 3.74)","('City-157', 4.0)","('City-147', 4.0)","('City-133', 4.0)","('City-100', 4.0)","('City-85', 4.0)","('City-22', 4.0)"
City-99,"('City-100', 2.83)","('City-163', 3.16)","('City-202', 3.16)","('City-91', 3.16)","('City-6', 3.16)","('City-165', 3.16)","('City-26', 3.46)","('City-191', 3.46)","('City-186', 3.46)","('City-22', 3.46)"
City-100,"('City-102', 2.0)","('City-70', 2.45)","('City-186', 2.83)","('City-174', 2.83)","('City-99', 2.83)","('City-116', 2.83)","('City-163', 3.16)","('City-26', 3.16)","('City-60', 3.16)","('City-165', 3.16)"
City-101,"('City-32', 4.0)","('City-149', 4.0)","('City-60', 4.0)","('City-70', 4.0)","('City-173', 4.0)","('City-202', 4.24)","('City-38', 4.24)","('City-55', 4.24)","('City-186', 4.24)","('City-189', 4.24)"
City-102,"('City-100', 2.0)","('City-29', 2.83)","('City-174', 2.83)","('City-20', 3.16)","('City-70', 3.16)","('City-211', 3.46)","('City-159', 3.46)","('City-55', 3.46)","('City-116', 3.46)","('City-99', 3.46)"
City-103,"('City-196', 4.47)","('City-161', 4.9)","('City-31', 4.9)","('City-138', 4.9)","('City-12', 4.9)","('City-32', 4.9)","('City-198', 4.9)","('City-26', 4.9)","('City-145', 5.1)","('City-125', 5.1)"
City-104,"('City-188', 3.74)","('City-44', 4.0)","('City-229', 4.0)","('City-8', 4.0)","('City-142', 4.24)","('City-21', 4.24)","('City-138', 4.24)","('City-106', 4.24)","('City-169', 4.24)","('City-162', 4.47)"
City-105,"('City-215', 3.16)","('City-50', 3.74)","('City-8', 4.24)","('City-57', 4.24)","('City-42', 4.24)","('City-6', 4.47)","('City-93', 4.47)","('City-134', 4.47)","('City-60', 4.47)","('City-4', 4.47)"
City-106,"('City-104', 4.24)","('City-54', 4.24)","('City-8', 4.47)","('City-53', 4.47)","('City-107', 4.69)","('City-169', 4.69)","('City-229', 4.69)","('City-188', 4.69)","('City-40', 4.69)","('City-195', 4.69)"
City-107,"('City-70', 3.74)","('City-223', 3.74)","('City-54', 4.0)","('City-144', 4.0)","('City-76', 4.0)","('City-78', 4.0)","('City-8', 4.0)","('City-100', 4.0)","('City-86', 4.0)","('City-20', 4.24)"
City-108,"('City-163', 3.74)","('City-32', 3.74)","('City-203', 3.74)","('City-38', 3.74)","('City-21', 3.74)","('City-99', 3.74)","('City-49', 3.74)","('City-191', 4.0)","('City-26', 4.0)","('City-186', 4.0)"
City-109,"('City-32', 3.16)","('City-202', 3.46)","('City-161', 3.74)","('City-150', 3.74)","('City-11', 3.74)","('City-121', 3.74)","('City-19', 4.0)","('City-26', 4.0)","('City-58', 4.0)","('City-71', 4.0)"
City-110,"('City-49', 3.74)","('City-186', 3.74)","('City-58', 4.0)","('City-143', 4.0)","('City-121', 4.0)","('City-60', 4.0)","('City-77', 4.0)","('City-100', 4.0)","('City-174', 4.0)","('City-37', 4.24)"
City-111,"('City-73', 4.69)","('City-169', 4.69)","('City-45', 4.9)","('City-162', 4.9)","('City-142', 5.1)","('City-198', 5.1)","('City-229', 5.1)","('City-184', 5.1)","('City-46', 5.1)","('City-175', 5.29)"
City-112,"('City-122', 4.24)","('City-159', 4.24)","('City-172', 4.24)","('City-34', 4.47)","('City-219', 4.69)","('City-35', 4.69)","('City-143', 4.69)","('City-126', 4.69)","('City-174', 4.69)","('City-83', 4.69)"
City-113,"('City-177', 4.0)","('City-73', 4.24)","('City-162', 4.47)","('City-26', 4.47)","('City-37', 4.69)","('City-45', 4.69)","('City-115', 4.69)","('City-137', 4.69)","('City-161', 4.69)","('City-219', 4.69)"
City-114,"('City-87', 5.1)","('City-39', 5.1)","('City-70', 5.1)","('City-100', 5.1)","('City-60', 5.29)","('City-19', 5.29)","('City-94', 5.29)","('City-190', 5.29)","('City-89', 5.29)","('City-102', 5.29)"
City-115,"('City-62', 3.16)","('City-137', 3.16)","('City-219', 3.46)","('City-35', 3.46)","('City-45', 3.46)","('City-26', 3.46)","('City-67', 3.46)","('City-58', 3.74)","('City-56', 3.74)","('City-48', 3.74)"
City-116,"('City-100', 2.83)","('City-202', 3.16)","('City-211', 3.46)","('City-89', 3.46)","('City-82', 3.46)","('City-192', 3.46)","('City-26', 3.46)","('City-74', 3.46)","('City-75', 3.46)","('City-201', 3.46)"
City-117,"('City-133', 4.47)","('City-163', 4.47)","('City-127', 4.47)","('City-35', 4.47)","('City-58', 4.69)","('City-21', 4.69)","('City-154', 4.69)","('City-56', 4.69)","('City-10', 4.69)","('City-86', 4.69)"
City-118,"('City-35', 3.74)","('City-82', 3.74)","('City-10', 4.0)","('City-145', 4.0)","('City-144', 4.0)","('City-29', 4.0)","('City-18', 4.0)","('City-219', 4.0)","('City-15', 4.24)","('City-30', 4.24)"
City-119,"('City-45', 3.74)","('City-67', 3.74)","('City-115', 4.0)","('City-184', 4.0)","('City-46', 4.0)","('City-169', 4.24)","('City-148', 4.24)","('City-129', 4.24)","('City-62', 4.24)","('City-229', 4.24)"
