,Neighbor1,Neighbor2,Neighbor3,Neighbor4,Neighbor5,Neighbor6,Neighbor7,Neighbor8,Neighbor9,Neighbor10
B-Year-51,"('B-Year-53', 2.0)","('B-Year-66', 2.0)","('B-Year-29', 2.0)","('B-Year-14', 2.0)","('B-Year-55', 2.0)","('B-Year-62', 2.0)","('B-Year-61', 2.0)","('B-Year-50', 2.0)","('B-Year-42', 2.0)","('B-Year-79', 2.0)"
B-Year-52,"('B-Year-85', 2.0)","('B-Year-12', 2.0)","('B-Year-33', 2.0)","('B-Year-22', 2.0)","('B-Year-34', 2.0)","('B-Year-2', 2.0)","('B-Year-45', 2.0)","('B-Year-57', 2.0)","('B-Year-31', 2.0)","('B-Year-58', 2.0)"
B-Year-53,"('B-Year-55', 2.0)","('B-Year-66', 2.0)","('B-Year-62', 2.0)","('B-Year-14', 2.0)","('B-Year-51', 2.0)","('B-Year-61', 2.0)","('B-Year-29', 2.0)","('B-Year-42', 2.0)","('B-Year-50', 2.0)","('B-Year-79', 2.0)"
B-Year-54,"('B-Year-37', 1.41)","('B-Year-28', 2.0)","('B-Year-22', 2.0)","('B-Year-63', 2.0)","('B-Year-26', 2.0)","('B-Year-70', 2.0)","('B-Year-36', 2.0)","('B-Year-47', 2.0)","('B-Year-44', 2.0)","('B-Year-62', 2.0)"
B-Year-55,"('B-Year-66', 2.0)","('B-Year-61', 2.0)","('B-Year-62', 2.0)","('B-Year-29', 2.0)","('B-Year-14', 2.0)","('B-Year-79', 2.0)","('B-Year-50', 2.0)","('B-Year-51', 2.0)","('B-Year-53', 2.0)","('B-Year-13', 2.0)"
B-Year-56,"('B-Year-76', 2.0)","('B-Year-1', 2.0)","('B-Year-20', 2.0)","('B-Year-19', 2.0)","('B-Year-17', 2.0)","('B-Year-64', 2.0)","('B-Year-65', 2.0)","('B-Year-40', 2.0)","('B-Year-84', 2.0)","('B-Year-2', 2.0)"
B-Year-57,"('B-Year-12', 2.0)","('B-Year-22', 2.0)","('B-Year-31', 2.0)","('B-Year-33', 2.0)","('B-Year-72', 2.0)","('B-Year-14', 2.0)","('B-Year-34', 2.0)","('B-Year-58', 2.0)","('B-Year-85', 2.0)","('B-Year-45', 2.0)"
B-Year-58,"('B-Year-52', 2.0)","('B-Year-22', 2.0)","('B-Year-72', 2.0)","('B-Year-85', 2.0)","('B-Year-31', 2.0)","('B-Year-33', 2.0)","('B-Year-34', 2.0)","('B-Year-12', 2.0)","('B-Year-23', 2.0)","('B-Year-57', 2.0)"
B-Year-59,"('B-Year-38', 2.0)","('B-Year-50', 2.0)","('B-Year-47', 2.0)","('B-Year-60', 2.0)","('B-Year-15', 2.0)","('B-Year-1', 2.0)","('B-Year-25', 2.0)","('B-Year-80', 2.0)","('B-Year-71', 2.0)","('B-Year-6', 2.0)"
B-Year-60,"('B-Year-25', 2.0)","('B-Year-80', 2.0)","('B-Year-1', 2.0)","('B-Year-32', 2.0)","('B-Year-15', 2.0)","('B-Year-59', 2.0)","('B-Year-38', 2.0)","('B-Year-71', 2.0)","('B-Year-49', 2.0)","('B-Year-6', 2.0)"
B-Year-61,"('B-Year-50', 2.0)","('B-Year-42', 2.0)","('B-Year-66', 2.0)","('B-Year-14', 2.0)","('B-Year-55', 2.0)","('B-Year-51', 2.0)","('B-Year-53', 2.0)","('B-Year-62', 2.0)","('B-Year-79', 2.0)","('B-Year-29', 2.0)"
B-Year-62,"('B-Year-42', 1.41)","('B-Year-22', 2.0)","('B-Year-41', 2.0)","('B-Year-70', 2.0)","('B-Year-53', 2.0)","('B-Year-54', 2.0)","('B-Year-63', 2.0)","('B-Year-36', 2.0)","('B-Year-61', 2.0)","('B-Year-66', 2.0)"
B-Year-63,"('B-Year-16', 2.0)","('B-Year-41', 2.0)","('B-Year-36', 2.0)","('B-Year-54', 2.0)","('B-Year-62', 2.0)","('B-Year-22', 2.0)","('B-Year-70', 2.0)","('B-Year-47', 2.0)","('B-Year-5', 2.0)","('B-Year-4', 2.45)"
B-Year-64,"('B-Year-17', 2.0)","('B-Year-41', 2.0)","('B-Year-40', 2.0)","('B-Year-56', 2.0)","('B-Year-20', 2.0)","('B-Year-19', 2.0)","('B-Year-65', 2.0)","('B-Year-2', 2.0)","('B-Year-76', 2.0)","('B-Year-84', 2.0)"
B-Year-65,"('B-Year-76', 2.0)","('B-Year-17', 2.0)","('B-Year-40', 2.0)","('B-Year-41', 2.0)","('B-Year-2', 2.0)","('B-Year-20', 2.0)","('B-Year-19', 2.0)","('B-Year-64', 2.0)","('B-Year-56', 2.0)","('B-Year-84', 2.0)"
B-Year-66,"('B-Year-14', 2.0)","('B-Year-62', 2.0)","('B-Year-50', 2.0)","('B-Year-51', 2.0)","('B-Year-53', 2.0)","('B-Year-29', 2.0)","('B-Year-55', 2.0)","('B-Year-61', 2.0)","('B-Year-42', 2.0)","('B-Year-79', 2.0)"
B-Year-67,"('B-Year-13', 2.0)","('B-Year-24', 2.0)","('B-Year-46', 2.0)","('B-Year-32', 2.0)","('B-Year-23', 2.0)","('B-Year-48', 2.0)","('B-Year-8', 2.0)","('B-Year-4', 2.0)","('B-Year-83', 2.0)","('B-Year-3', 2.0)"
B-Year-68,"('B-Year-10', 2.0)","('B-Year-73', 2.0)","('B-Year-36', 2.0)","('B-Year-69', 2.0)","('B-Year-75', 2.0)","('B-Year-77', 2.0)","('B-Year-78', 2.0)","('B-Year-35', 2.0)","('B-Year-81', 2.0)","('B-Year-9', 2.0)"
B-Year-69,"('B-Year-75', 2.0)","('B-Year-35', 2.0)","('B-Year-36', 2.0)","('B-Year-81', 2.0)","('B-Year-10', 2.0)","('B-Year-9', 2.0)","('B-Year-77', 2.0)","('B-Year-78', 2.0)","('B-Year-68', 2.0)","('B-Year-3', 2.0)"
B-Year-70,"('B-Year-62', 2.0)","('B-Year-54', 2.0)","('B-Year-11', 2.0)","('B-Year-36', 2.0)","('B-Year-16', 2.0)","('B-Year-41', 2.0)","('B-Year-63', 2.0)","('B-Year-47', 2.0)","('B-Year-30', 2.0)","('B-Year-22', 2.0)"
B-Year-71,"('B-Year-60', 2.0)","('B-Year-15', 2.0)","('B-Year-1', 2.0)","('B-Year-12', 2.0)","('B-Year-38', 2.0)","('B-Year-59', 2.0)","('B-Year-47', 2.0)","('B-Year-25', 2.0)","('B-Year-6', 2.0)","('B-Year-80', 2.0)"
B-Year-72,"('B-Year-31', 2.0)","('B-Year-22', 2.0)","('B-Year-12', 2.0)","('B-Year-85', 2.0)","('B-Year-58', 2.0)","('B-Year-57', 2.0)","('B-Year-52', 2.0)","('B-Year-34', 2.0)","('B-Year-45', 2.0)","('B-Year-33', 2.0)"
B-Year-73,"('B-Year-9', 2.0)","('B-Year-35', 2.0)","('B-Year-77', 2.0)","('B-Year-78', 2.0)","('B-Year-10', 2.0)","('B-Year-75', 2.0)","('B-Year-36', 2.0)","('B-Year-38', 2.0)","('B-Year-68', 2.0)","('B-Year-81', 2.0)"
B-Year-74,"('B-Year-18', 2.0)","('B-Year-43', 2.0)","('B-Year-21', 2.0)","('B-Year-7', 2.0)","('B-Year-39', 2.0)","('B-Year-30', 2.83)","('B-Year-68', 3.16)","('B-Year-24', 3.46)","('B-Year-20', 3.46)","('B-Year-75', 3.46)"
B-Year-75,"('B-Year-10', 2.0)","('B-Year-77', 2.0)","('B-Year-35', 2.0)","('B-Year-68', 2.0)","('B-Year-69', 2.0)","('B-Year-36', 2.0)","('B-Year-73', 2.0)","('B-Year-26', 2.0)","('B-Year-9', 2.0)","('B-Year-78', 2.0)"
B-Year-76,"('B-Year-2', 2.0)","('B-Year-56', 2.0)","('B-Year-17', 2.0)","('B-Year-40', 2.0)","('B-Year-41', 2.0)","('B-Year-20', 2.0)","('B-Year-64', 2.0)","('B-Year-65', 2.0)","('B-Year-84', 2.0)","('B-Year-19', 2.0)"
B-Year-77,"('B-Year-9', 2.0)","('B-Year-78', 2.0)","('B-Year-35', 2.0)","('B-Year-36', 2.0)","('B-Year-68', 2.0)","('B-Year-10', 2.0)","('B-Year-73', 2.0)","('B-Year-31', 2.0)","('B-Year-81', 2.0)","('B-Year-69', 2.0)"
B-Year-78,"('B-Year-10', 2.0)","('B-Year-69', 2.0)","('B-Year-73', 2.0)","('B-Year-75', 2.0)","('B-Year-77', 2.0)","('B-Year-35', 2.0)","('B-Year-53', 2.0)","('B-Year-9', 2.0)","('B-Year-36', 2.0)","('B-Year-81', 2.0)"
B-Year-79,"('B-Year-50', 2.0)","('B-Year-61', 2.0)","('B-Year-55', 2.0)","('B-Year-53', 2.0)","('B-Year-51', 2.0)","('B-Year-14', 2.0)","('B-Year-29', 2.0)","('B-Year-66', 2.0)","('B-Year-84', 2.0)","('B-Year-42', 2.0)"
B-Year-80,"('B-Year-1', 2.0)","('B-Year-59', 2.0)","('B-Year-38', 2.0)","('B-Year-15', 2.0)","('B-Year-47', 2.0)","('B-Year-49', 2.0)","('B-Year-25', 2.0)","('B-Year-60', 2.0)","('B-Year-6', 2.0)","('B-Year-71', 2.0)"
B-Year-81,"('B-Year-73', 2.0)","('B-Year-10', 2.0)","('B-Year-68', 2.0)","('B-Year-69', 2.0)","('B-Year-35', 2.0)","('B-Year-75', 2.0)","('B-Year-77', 2.0)","('B-Year-36', 2.0)","('B-Year-9', 2.0)","('B-Year-78', 2.0)"
B-Year-82,"('B-Year-27', 2.0)","('B-Year-23', 2.45)","('B-Year-60', 2.45)","('B-Year-71', 2.83)","('B-Year-58', 2.83)","('B-Year-12', 2.83)","('B-Year-32', 2.83)","('B-Year-83', 3.16)","('B-Year-44', 3.16)","('B-Year-80', 3.16)"
B-Year-83,"('B-Year-8', 2.0)","('B-Year-13', 2.0)","('B-Year-23', 2.0)","('B-Year-24', 2.0)","('B-Year-67', 2.0)","('B-Year-32', 2.0)","('B-Year-4', 2.0)","('B-Year-5', 2.0)","('B-Year-3', 2.0)","('B-Year-46', 2.0)"
B-Year-84,"('B-Year-40', 2.0)","('B-Year-76', 2.0)","('B-Year-19', 2.0)","('B-Year-65', 2.0)","('B-Year-20', 2.0)","('B-Year-17', 2.0)","('B-Year-64', 2.0)","('B-Year-2', 2.0)","('B-Year-79', 2.0)","('B-Year-41', 2.0)"
B-Year-85,"('B-Year-12', 2.0)","('B-Year-72', 2.0)","('B-Year-33', 2.0)","('B-Year-34', 2.0)","('B-Year-22', 2.0)","('B-Year-57', 2.0)","('B-Year-52', 2.0)","('B-Year-31', 2.0)","('B-Year-45', 2.0)","('B-Year-58', 2.0)"
